ORF	Brief ID	Functional Catergories 	Previous deletion	Potential overlap with another gene	Distance to nearest upstream ORF (bp)	Distance to nearest downstream ORF (bp)	Cell Cycle Transcriptional Regulation	Cell cycle transcription profile	Relative transcript abundance (exon1)	Relative transcript abundance (exon2)	Yeart ORF with highest degree of similarity	Similar gene name	Smith-Waterman probability	Smith-Waterman Score	Notes
YLL031C	 similarity to hypothetical protein YJL062w	unclassified proteins 	no data	No	151	405	No		362.6666667		YJL062W		1.70E-41	600	
YLL034C	 similarity to mammalian valosin	unclear classification 	no data	No	263	155	No		470.2222222		YDL126C		3.60E-105	1379	
YLL035W	 hypothetical protein	unclassified proteins 	no data	No	155	324	No		326.1111111		YOR250C		9.67E-04	135	
YLL036C	 non-snRNP sliceosome component required for DNA repair	transcription; cellular organization 	lethal	Yes	324	-197	No		840.7777778						
YLL037W	 weak similarity to human platelet-activating factor receptor	unclassified proteins 	no data	Yes	-197	44	No		578.5555556						exclude
YLL050C	" cofilin, actin binding and severing protein"	"intracellular transport; protein destination; cell growth, division, DNA synthesis; cellular organization "	lethal	No	252	333	No		2079.555556		YCR088W	COF1	3.29E-03	120	
YLR002C	 hypothetical protein	unclassified proteins 	no data	No	521	366	No		183.8888889		YKL201C		7.22E-04	137	
YLR005W	" TFIIH subunit (transcription initiation factor), factor B"	"cell rescue, cell defense and cell aging; protein synthesis; transcription "	lethal	No	321	544	No		481.1111111						
YLR007W	 hypothetical protein	unclassified proteins 	no data	No	175	499	No		411.6666667						
YLR008C	 similarity to hypothetical protein YNL328c	unclassified proteins 	no data	No	454	175	No		724.3333333		YNL328C		1.90E-12	234	
YLR009W	 similarity to ribosomal protein L24.e.B	protein synthesis 	no data	No	184	454	No		928.1111111		YGL031C		5.20E-12	230	
YLR010C	 hypothetical protein	unclassified proteins 	no data	No	1301	184	No		129.5555556						
YLR022C	 similarity to C.elegans and M.jannaschii hypothetical proteins	unclassified proteins 	no data	No	572	12	No		820.1111111						
YLR026C	 syntaxin (T-SNARE)	intracellular transport; cellular organization 	lethal	No	357	276	No		425.5555556		YOR106W	SED5	2.00E-12	238	
YLR029C	 ribosomal protein L15.e.c12	protein synthesis; cellular organization 	no data	No	700	661	No		4831		YMR121C	RPL13A	2.00E-105	1374	
YLR045C	 suppressor of a cs tubulin mutation	unclear classification; cellular organization 	lethal	No	298	956	Yes	S	266.5555556		YDR356W	STU2	1.00E-06	172	
YLR051C	 similarity to human acidic 82 kDa protein	unclassified proteins 	no data	No	224	252	No		825.3333333		YLR309C		2.81E-02	111	
YLR060W	" phenylalanyl-tRNA synthetase, alpha subunit, cytosolic"	protein synthesis; cellular organization 	no data	No	428	432	No		1154						
YLR066W	 signal peptidase subunit	protein destination; cellular organization 	lethal	No	90	251	No		939.6666667						
YLR071C	 DNA-directed RNA polymerase II holoenzyme subunit	"transcription; cell growth, division, DNA synthesis; energy; metabolism; cellular organization;"	lethal	No	236	167	No		252.6666667						
YLR075W	 ribosomal protein of the 60S subunit	"protein destination; protein synthesis; cell growth, division, DNA synthesis; cellular organization "	lethal	Yes	-407	471	No		3266.555556						
YLR076C	 questionable ORF	unclassified proteins 	lethal	Yes	265	-407	No		4875.777778						exclude
YLR078C	 secretory pathway protein	intracellular transport; cellular organization 	lethal	No	261	113	No		477.7777778						
YLR086W	 Stable Maintenance of Chromosomes	cellular biogenesis 	lethal	No	356	254	No		172.6666667		YFL008W	SMC4	3.10E-86	1150	
YLR088W	 required for attachment of GPI anchor onto proteins	intracellular transport; protein destination; metabolism; cellular organization 	lethal	No	286	376	No		315.5555556						
YLR100W	 hypothetical protein	unclassified proteins 	lethal	Yes	-287	882	No		1131.666667						exclude
YLR101C	 questionable ORF	unclassified proteins 	no data	Yes	9	-287	No		1573.111111						
YLR103C	 required for minichromosome maintenance and initiation of chromosomal DNA replication	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	644	222	Yes	late G1	370.6666667		YDR186C	CDC45	1.30E-04	146	
YLR105C	 tRNA splicing endonuclease beta subunit	transcription; cellular organization 	lethal	No	826	67	No		317.1111111		YKL082C	SEN2	2.40E-02	115	
YLR106C	 hypothetical protein	unclassified proteins 	no data	No	378	826	No		1027		YFR016C		5.50E-15	284	
YLR115W	" cleavage and polyadenylation specificity factor, part of CF II"	transcription; cellular organization 	lethal	No	258	747	No		296.8888889		YLR277C	CFT2	3.10E-09	204	
YLR116W	 branch point bridging protein	transcription; cellular organization 	lethal	No	219	258	No		207.6666667		YIR019C	MSL5	4.00E-07	175	
YLR117C	 strong similarity to Drosophila putative cell cycle control protein crn	"cell growth, division, DNA synthesis "	viable	No	191	219	No		214.5555556		YMR229C		3.90E-07	177	Null mutant reported as viable in MIPS as of 03/24/99.  No reference.
YLR127C	 weak similaeity to fruit fly lin19 protein	"protein destination; cell growth, division, DNA synthesis "	no data	No	211	238	No		129.1111111		YFR031C		6.60E-02	114	
YLR129W	 Dom34p-interacting protein	"cell growth, division, DNA synthesis "	lethal	No	306	224	No		544		YLR222C	DIP2	1.60E-36	539	
YLR132C	 hypothetical protein	unclassified proteins 	no data	No	290	461	No		126.1111111						
YLR140W	 questionable ORF	unclassified proteins 	no data	Yes	-117	1	No		185.5555556						
YLR141W	 RNA polymerase I specific transcription initiation factor	transcription; cellular organization 	viable	Yes	412	-117	No		61.77777778		YLR009W	RRN5	6.95E-02	109	"May overlap another essential gene, YLR140W."
YLR145W	 hypothetical protein	unclassified proteins 	no data	No	50	152	No		425.5555556						
YLR147C	 strong similarity to small nuclear ribonucleoprotein D3	transcription; cellular organization 	lethal	No	178	433	No		1271.333333		YER112W	SMD3	2.64E-03	119	
YLR163C	 mitochondrial processing peptidase	protein destination; cellular organization 	lethal	No	629	1938	No		435.4444444		YHR024C	MAS1	3.70E-39	567	
YLR166C	 required for exocytosis	intracellular transport; cellular organization 	lethal	No	903	171	No		421		YEL061C	SEC10	4.60E-05	153	
YLR167W	 ubiquitin	protein destination; protein synthesis; cellular organization 	viable	No	173	903	No		3998.333333		YIL148W	UBI3	2.10E-32	478	"Previously-reported null mutant is coled-sensitive (Mueller, P. P., Grueter, P., Hinnebusch, A. G., and Trachsel, H. A Ribosomal Protein Is Required for Translational Regulation of GCN4 mRNA. Evidence for involvement of the ribosome in eif2 recycling. J Biol Chem 273, 32870-32877 (1998))."
YLR175W	 centromere/microtubule binding protein	"cellular biogenesis; transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	212	305	No		1954.444444		YOR310C	CBF5	5.40E-13	247	
YLR195C	 N-myristoyltransferase	protein destination; metabolism; cellular organization 	lethal	No	664	364	No		669.5555556		YAR018C	NMT1	7.29E-02	110	
YLR196W	 periodic tryptophan protein	unclassified proteins 	viable	No	399	664	No		747.6666667		YEL056W	PWP1	1.90E-07	180	"Previously-reported null mutants are severely growth retarded (Duronio, R. J., Gordon, J. I., and Boguski, M. S. Comparative analysis of the beta transducin family with identification of several new members including PWP1, a nonessential gene of Saccharomyces cerevisiae that is divergently transcribed from NMT1. Proteins 13, 41-56 (1992))."
YLR197W	 suppressor of toxicity of Gal4-IKB	transcription; cellular organization 	lethal	Yes	-325	399	No		1741.333333		YOR310C	SIK1	2.70E-94	1243	
YLR198C	 questionable ORF	unclassified proteins 	no data	Yes	208	-325	No		1358.333333						
YLR208W	 protein transport protein	intracellular transport; cellular organization 	lethal	No	353	262	No		928.6666667		YGL100W	SEC13	1.00E-20	339	
YLR212C	 gamma tubulin	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	373	646	Yes	late G1	174.7777778		YML085C	TUB4	1.80E-51	718	
YLR222C	 similarity to Dip2p	unclassified proteins 	no data	No	462	294	No		396.2222222		YLR129W		1.30E-36	539	
YLR223C	 pre-rRNA processing machinery control protein	transcription; cellular organization 	lethal	No	974	462	No		493.3333333		YDR223W	IFH1	9.40E-19	322	
YML010W	 transcription initiation protein	transcription; cellular organization 	lethal	Yes	-433	249	No		372.1111111		YPL190C	SPT5	2.30E-13	256	
YML025C	 mitochondrial ribosomal protein	protein synthesis; cellular organization 	no data	No	524	578	No		436.6666667						
YML043C	 component of rDNA transcription factor CF	transcription; cellular organization 	lethal	No	1021	515	No		278.5555556		YKL201C	RRN11	1.07E-02	121	
YML049C	 hypothetical protein	intracellular transport; transcription 	viable	No	121	146	No		131.8888889						"Null mutant reported but does not grow at 30¡C (Chen, E.J.; Frand, A.R.; Chitouras, E.; Kaiser, C.A. Mol. Cell. Biol. 18(12): 7139-46 (1998))."
YML064C	 GTP-binding protein of the ras superfamily	"signal transduction; cell growth, division, DNA synthesis "	lethal	No	606	185	No		447.4444444		YFL005W	TEM1	1.20E-13	251	
YML065W	" origin recognition complex, large subunit"	"transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	185	677	No		257.1111111		YLR442C	ORC1	1.30E-85	1140	
YMR001C	 ser/thr protein kinase	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	1057	1219	Yes	M	354.5555556		YPL209C	CDC5	2.60E-37	547	
YMR013C	 dolichol kinase	"cell growth, division, DNA synthesis; metabolism; cellular organization "	no data	No	2130	212	No		262.1111111						
YMR028W	 component of the Tor signaling pathway	"signal transduction; protein synthesis; cell growth, division, DNA synthesis "	lethal	No	78	193	No		307.7777778		YPL174C	TAP42	3.76E-04	137
YMR043W	 transcription factor of the MADS box family	"cell rescue, cell defense and cell aging; transcription; cell growth, division, DNA synthesis; metabolism; cellular organization;"	lethal	No	653	735	No		1602.666667		YMR042W	MCM1	3.10E-25	394
YMR146C	" translation initiation factor eIF3, P39 subunit"	protein synthesis; cellular organization 	lethal	No	675	1006	No		2055.444444		YBR175W	TIF34	9.40E-12	230
YMR149W	 oligosaccharyltransferase delta subunit	protein destination; metabolism; cellular organization 	lethal	No	100	184	No		786.7777778					
YMR168C	" kinetochore protein complex, subunit B"	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	194	137	No		167.7777778		YLR256W	CBF3B	2.46E-03	130
YMR197C	 similarity to Nuf1p	intracellular transport; protein destination; cellular organization 	lethal	No	547	203	No		575		YDL234C		9.50E-03	117
YMR200W	 hypothetical protein	unclassified proteins 	lethal	No	323	468	No		1302.555556		YIL155C		4.17E-02	110
YMR203W	 mitochondrial outer membrane import channel	intracellular transport; transport facilitation; protein destination; cellular organization 	lethal	No	408	287	No		653.8888889					
YMR208W	 mevalonate kinase	metabolism; cellular organization 	lethal	No	113	903	No		682.8888889		YMR119W	ERG12	5.09E-02	112
YMR211W	 weak similarity to beta tubulins	unclassified proteins 	no data	No	185	218	No		351.4444444		YLR212C		1.03E-02	121
YMR213W	 similarity to S.pombe putative transcription factor cdc5	"cell growth, division, DNA synthesis "	lethal	No	116	338	No		204.4444444		YKR099W		1.00E-06	171
YMR218C	 hypothetical protein	unclassified proteins 	no data	No	246	212	No		227					
YMR220W	 phosphomevalonate kinase	metabolism; cellular organization 	lethal	No	260	207	No		965.1111111					
YMR227C	 hypothetical protein	transcription; cellular organization 	lethal	No	241	217	No		348.8888889		YLR106C		1.00E-09	208
YMR229C	 processing of pre-ribosomal RNA	transcription; cellular organization 	lethal	No	1291	283	No		983.1111111		YLR117C	RRP5	1.00E-06	177
YMR235C	 GTPase activating protein	transcription; cellular organization 	lethal	No	236	200	No		328		YPR189W	RNA1	2.99E-04	139
YMR236W	 similarity to human TAFII31	transcription; cellular organization 	lethal	No	305	236	No		818.2222222						
YMR239C	 double-stranded ribonuclease	transcription; cellular organization 	lethal	No	253	533	No		383.2222222		YBR081C	RNT1	1.48E-02	119	
YMR240C	 U2 snRNP protein	transcription; cellular organization 	lethal	No	721	253	No		211.8888889						
YMR260C	 translation initiation factor eIF1a	protein synthesis; cellular organization 	lethal	No	366	495	No		1337.666667		YDR289C	TIF11	8.60E-02	103	
YMR268C	 splicing factor	transcription; cellular organization 	lethal	No	442	184	No		224.2222222		YER165W	PRP24	5.00E-06	161	
YMR270C	 RNA polymerase I-specific transcription initiation factor	transcription; cellular organization 	viable	No	442	235	No		321.7777778		YGL086W	RRN9	1.20E-03	131	"Previous null mutant reported (Keys, D.A.; Lee, B.S.; Dodd, J.A.; Nguyen, T.T.; Vu, L.; Fantino, E.; Burson, L.M.; Nogi, Y.; Nomura, M. Genes Dev. 10(7): 887-903 (1996))."
YMR277W	 hypothetical protein	transcription; cellular organization 	lethal	No	309	308	No		440.3333333		YOR054C		3.00E-06	166	
YMR281W	 hypothetical protein	unclassified proteins 	no data	No	103	1010	No		230.7777778						
YMR288W	 strong similarity to hypothetical S.pombe protein	unclassified proteins 	no data	No	199	226	No		94		YGL195W		1.07E-03	137	
YMR290C	 strong similarity to helicases of the DEAD/DEAH box family	transcription 	lethal	Yes	-169	265	No		710.5555556		YJL033W		3.00E-80	1071	
YMR290W-A	 questionable ORF	 	no data	Yes	861	-169	No	very low expression	50.88888889		YMR290W		2.30E-52	721	exclude
YMR296C	 serine C-palmitoyltransferase subunit	metabolism 	lethal	No	1031	325	No		456.4444444		YDR062W	LCB1	1.00E-26	416	
YMR298W	 hypothetical protein	unclassified proteins 	no data	No	141	299	No		524.7777778						
YMR301C	 mitochondrial ATP-binding cassette transporter protein	ionic homeostasis; intracellular transport; transport facilitation; cellular organization 	lethal	No	446	464	No		310.5555556		YPL270W	ATM1	2.00E-48	683	
YMR308C	 protein secretion enhancer	intracellular transport; cellular organization 	lethal	No	767	270	No		967.2222222		YER110C	PSE1	1.80E-40	588	"Null mutant grows very slowly.  Chow, T.Y., et al. (1992) Screening and identification of a                 gene, PSE-1, that affects protein secretion in Saccharomyces              cerevisiae. J Cell Sci 101:709-719"
YMR309C	 associated with 40s ribosomal subunit	protein synthesis; cellular organization 	lethal	No	290	767	No		550.5555556		YGR159C	NIP1	4.00E-06	166	
YNL245C	 hypothetical protein	unclassified proteins 	lethal	No	285	-3	No		451		YJL074C		1.66E-03	125
YNL247W	 similarity to cysteinyl-tRNA synthetases	protein synthesis 	no data	No	282	267	No		546.4444444		YPL160W		3.84E-04	141
YNL251C	 involved in regulation of nuclear pre-mRNA abundance	transcription; cellular organization 	lethal	No	1095	302	No		287.7777778		YNL124W	NRD1	1.00E-05	159
YNL258C	 hypothetical protein	unclassified proteins 	lethal	No	258	244	No		115		YJL115W		1.01E-04	148
YNL261W	" origin recognition complex, 50 kDa subunit"	"transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	320	220	No		363.7777778		YOR046C	ORC5	3.71E-02	114
YNL262W	" DNA-directed DNA polymerase epsilon, catalytic subunit A"	"cell rescue, cell defense and cell aging; cell growth, division, DNA synthesis; cellular organization "	lethal	No	220	372	Yes	late G1	376.5555556		YDL102W	POL2	3.94E-02	122
YNL263C	 Slh1p Interacting Factor	unclassified proteins 	lethal	No	372	281	No		598.1111111					
YNL272C	 protein transport protein	intracellular transport; cellular organization 	lethal	No	439	206	Yes	late G1	284.3333333		YKR092C	SEC2	3.70E-11	227
YNL282W	 involved in processsing of tRNAs and rRNAs	transcription; cellular organization 	lethal	No	193	992	No		189.1111111					
YNL290W	" DNA replication factor C, 40 kDa subunit"	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	657	403	No		262.6666667		YOL094C	RFC3	1.90E-47	667
YNL306W	 hypothetical protein	protein synthesis; cellular organization 	no data	No	90	582	No		541.6666667					
YNL308C	 similarity to S.pombe and C.elegans hypothetical proteins	unclassified proteins 	lethal	No	550	198	No		859.6666667		YDL058W		1.40E-08	194
YNL310C	 similarity to S.pombe hypothetical protein SPAC24H6.02c	unclassified proteins 	no data	No	21	219	Yes	late G1	585.6666667					
YNL312W	" DNA replication factor A, 36 kDa subunit"	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	181	265	Yes	late G1	766					
YNL313C	 similarity to C.elegans hypothetical protein	unclassified proteins 	lethal	No	265	94	No		345.6666667		YBR112C		4.80E-05	153
YNL317W	 similarity to A.thaliana PRL1/2 protein	unclassified proteins 	lethal	No	55	290	No		145.6666667		YPL151C		4.10E-16	285
YOL005C	" DNA-directed RNA polymerase II subunit, 13.6 KD"	transcription; cellular organization 	lethal	No	763	426	No		890.2222222		YNL113W	RPB11	1.61E-04	135	
YOL010W	 putative RNA 3'-terminal phosphate cyclase	transcription 	no data	No	283	529	No		215.1111111						
YOL021C	 Ran binding protein	"transcription; cell growth, division, DNA synthesis; cellular organization "	lethal	No	746	923	No		441.1111111		YDR293C	DIS3	8.30E-35	518	
YOL022C	 weak similarity to rat apoptosis protein RP-8	unclassified proteins 	viable	No	923	186	No		645.3333333		YHL007C		1.90E-03	129	"Previously-reported disruption is slow growing (Rad, M. R., Habbig, B., Jansen, G., Hattenhorst, U., Kroll, M., and Hollenberg, C. P. Analysis of the DNA sequence of a 34,038 bp region on the left arm of yeast chromosome XV. Yeast 13, 281-6 (1997))."
YOL026C	 hypothetical protein	unclassified proteins 	no data	No	604	288	No		745.4444444						
YOL034W	 similarity to human SB1.8/DXS423E protein	"cell growth, division, DNA synthesis "	viable	No	271	820	No		130.1111111		YLR383W		7.90E-19	323	viablity reported in MIPS.
YOL038W	 20S proteasome subunit (alpha4)	protein destination; cellular organization 	no data	No	565	720	No		1169.111111		YGR135W	PRE6	3.70E-32	478	
YOL040C	 ribosomal protein	protein synthesis; cellular organization 	no data	No	720	503	No		3695		YNR037C	RPS21	1.00E-05	151	
YOL066C	 DRAP deaminase	metabolism 	no data	No	260	178	No		165.4444444		YDL036C	RIB2	8.90E-149	1911	
YOL069W	 spindle pole body protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	71	217	Yes	M	54.22222222		YDL058W	NUF2	4.60E-11	223	
YOL077C	 strong similarity to C.elegans K12H4.3 protein	unclassified proteins 	no data	No	301	636	No		897.3333333		YNL075W		4.63E-02	110	
YOR004W	 weak similarity to hypothetical protein YDR339c	unclassified proteins 	no data	No	153	701	No		983.5555556		YDR339C		5.20E-07	170	
YOR020C	" chaperonin, mitochondrial"	protein destination; cellular organization 	lethal	No	1954	205	No		1049.666667						
YOR046C	 RNA helicase	unclear classification 	lethal	No	440	423	No		597.7777778		YJL138C	DBP5	8.10E-66	894	
YOR048C	 5'-3' exoribonuclease	intracellular transport; transcription; cellular organization 	lethal	No	1018	949	No		297.1111111		YGL173C	RAT1	8.50E-104	1363	
YOR056C	 weak similarity to human phosphorylation regulatory protein HP-10	unclassified proteins 	no data	No	560	335	No		733.8888889		YLR223C		3.39E-04	139	
YOR057W	 suppressor of G2 allele of SKP1	unclassified proteins 	no data	No	315	560	No		317.2222222		YBL029W	SGT1	8.25E-03	121	
YOR060C	 hypothetical protein	unclassified proteins 	no data	No	371	132	No		135.3333333						
YOR063W	 ribosomal protein L3.e	protein synthesis; cellular organization 	lethal	No	230	1155	No		2168.444444		YGR220C	TCM1	3.58E-02	113	
YOR074C	 thymidylate synthase	metabolism; cellular organization 	no data	No	623	132	Yes	late G1	43.33333333	367					
YOR075W	 syntaxin (T-SNARE) of the ER	"intracellular transport; cell growth, division, DNA synthesis; cellular organization "	lethal	No	125	623	No		219.4444444		YLR026C	UFE1	5.00E-06	160	
YOR077W	 similarity to mouse KIN17 protein	"cell growth, division, DNA synthesis "	no data	No	128	279	No		41.44444444						
YOR095C	 D-ribose-5-phosphate ketol-isomerase	energy; metabolism; cellular organization 	viable	No	1466	206	No		597						"Null mutant reported as inviable (Miosga, T., and Zimmermann, F. K. Cloning and characterization of the first two genes of the non-oxidative part of the Saccharomyces cerevisiae pentose-phosphate pathway. Curr Genet 30, 404-9 (1996)). but viable by MIPS."
YOR294W	 similarity to human hypothetical protein	unclassified proteins 	no data	No	257	488	No		510.1111111						
YOR310C	 strong similarity to Sik1p	transcription; cellular organization 	lethal	Yes	696	-253	No		1811.555556		YLR197W		2.80E-94	1243	
YOR319W	 similarity to human SAP49 and RNA-binding proteins	transcription; cellular organization 	lethal	No	156	386	No		343.6666667		YER165W	HSH49	6.40E-11	217	
YOR326W	 myosin heavy chain	"cellular biogenesis; intracellular transport; cell growth, division, DNA synthesis; cellular organization "	lethal	No	289	671	No		735.6666667		YAL029C	MYO2	0.00E+00	4534	
YOR329C	 suppressor of clathrin deficiency	intracellular transport; protein destination 	lethal	No	272	234	No		291.5555556		YBR289W	SCD5	6.30E-15	274	
YOR335C	" alanyl-tRNA synthetase, cytosolic"	protein synthesis; cellular organization 	lethal	No	664	225	No		1147.444444		YNL040W	ALA1	1.79E-03	134	
YOR340C	" DNA-directed RNA polymerase I, 36 KD subunit"	transcription; cellular organization 	lethal	No	805	370	No		459.2222222		YGL086W	RPA43	3.61E-02	112	
YOR341W	" DNA-directed RNA polymerase I, 190 KD alpha subunit"	transcription; cellular organization 	lethal	No	685	805	No		834.6666667		YDL140C	RPA190	6.60E-115	1502	
YOR353C	 weak similarity to adenylate cyclases	unclassified proteins 	no data	No	319	209	No		209		YJL005W		3.40E-08	191	
YOR361C	 translation initiation factor eIF3 subunit	"protein synthesis; cell growth, division, DNA synthesis; cellular organization "	lethal	No	228	540	No		1617.111111		YGR054W	PRT1	3.60E-07	178	
YOR362C	 20S proteasome subunit C1(alpha7)	protein destination; cellular organization 	lethal	No	1476	228	No		1261.555556		YML092C	PRE10	1.90E-27	421	
YOR370C	 geranylgeranyltransferase regulatory subunit	protein destination; metabolism; cellular organization 	lethal	No	495	558	No		710		YER136W	MSI4	6.60E-25	394	
YOR372C	 hypothetical protein	unclassified proteins 	no data	No	363	625	No		266.4444444		YIR019C		9.20E-09	196	
YOR373W	 cell cycle regulatory protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	451	363	No		153.1111111		YJL005W	NUD1	7.00E-10	212	
YPL093W	" similarity to M.jannaschii GTP-binding protein, GTP1/OBG-family, weak similarity to other GTP-binding proteins"	unclassified proteins 	no data	No	872	288	No		634.1111111		YMR023C		2.00E-06	169	
YPL094C	 ER protein-translocation complex subunit	intracellular transport; transport facilitation; protein destination; cellular organization 	lethal	No	288	398	No		457.6666667						
YPL117C	 isopentenyl-diphosphate delta-isomerase	metabolism; cellular organization 	lethal	No	876	202	No		794.2222222						
YPL122C	 TFIIH subunit (transcription/repair factor)	"cell rescue, cell defense and cell aging; transcription; cellular organization "	lethal	No	195	281	No		314.1111111						
YPL124W	 nuclear import protein	intracellular transport; cellular organization 	lethal	No	125	269	Yes	late G1	251.8888889		YBR156C	NIP29	9.02E-03	118	
YPL126W	 weak similarity to fruit fly TFIID subunit p85	unclassified proteins 	no data	No	488	606	No		283.2222222		YJL112W		2.56E-04	144	
YPL128C	 telomere TTAGGG repeat-binding factor 1	cellular organization 	lethal	No	607	396	No		152.7777778		YNL197C	TBF1	1.51E-03	132	
YPL142C	 questionable ORF	unclassified proteins 	no data	Yes	461	-284	No		2009.555556						
YPL143W	 ribosomal protein L35a.e.c16	protein synthesis; cellular organization 	viable	Yes	-284	1196	No		2426.333333		YOR234C	RPL37A	8.20E-50	689	"Previously-reported null mutant is severely impaired for growth (Tornow, J., and Santangelo, G. M. Saccharomyces cerevisiae ribosomal protein L37 is encoded by duplicate genes that are   differentially expressed. Curr Genet 25, 480-7 (1994))."
YPL151C	 strong similarity to A.thaliana PRL1 and PRL2 proteins	unclassified proteins 	no data	No	653	76	No		76		YBR198C		3.80E-23	371	
YPL153C	 ser/thr/tyr protein kinase	"cell rescue, cell defense and cell aging; signal transduction; cell growth, division, DNA synthesis; cellular organization "	lethal	No	836	796	Yes	late G1	104		YFR014C	SPK1	8.10E-38	554	
YPL160W	" leucine--tRNA ligase, cytosolic"	protein synthesis; cellular organization 	no data	No	645	770	No		858		YNL247W	CDC60	5.49E-04	141	
YPL169C	 weak similarity to human PHAPI	transcription; cellular organization 	lethal	No	379	267	No		834		YPL213W		2.97E-04	141	
YPL175W	 N-acetylglucosaminyltransferase	cellular biogenesis; metabolism; cellular organization 	lethal	No	79	286	No		169.6666667						
YPL190C	 polyadenylated RNA-binding protein	transcription; cellular organization 	lethal	No	1429	638	No		320.3333333		YBR289W	NAB3	1.40E-17	306	
YPL204W	" casein kinase I, ser/thr/tyr protein kinase"	"cell rescue, cell defense and cell aging; cell growth, division, DNA synthesis; cellular organization "	viable	No	496	10	No		1046.444444		YHR135C	HRR25	3.10E-85	1132	"Previously reported null mutant is slow growing and is sporulation defective (Hoekstra, M. F., Liskay, R. M., Ou, A. C., De Maggio, A. J., Burbee, D. G., and Heffron, F. HRR25, a putative protein kinase from budding yeast: association with repair of damaged DNA. Science 253, 1031-4 (1991))."
YPL209C	 ser/thr protein kinase	"cell growth, division, DNA synthesis "	lethal	No	249	260	Yes	late G1	57.22222222		YKL166C	IPL1	9.40E-47	659	
YPL210C	 signal recognition particle protein	protein destination; cellular organization 	viable	No	260	250	No		628.2222222		YNL227C	SRP72	4.46E-03	127	"Previously-reported null mutants are slow-growing (Brown, J. D., Hann, B. C., Medzihradszky, K. F., Niwa, M., Burlingame, A. L., and Walter, P. Subunits of the Saccharomyces cerevisiae signal recognition particle required for its functional expression. EMBO J 13, 4390-400 (1994))."
YPL211W	 similarity to A.thaliana hypothetical protein	transcription; cellular organization 	lethal	No	250	346	No		706						
YPL218W	 GTP-binding protein of the ARF family	intracellular transport; cellular organization 	lethal	No	211	470	No		1560.777778		YDL192W	SAR1	1.60E-21	346	
YPL228W	 similarity to YMR180c	transcription 	lethal	No	132	695	No		138.7777778		YMR180C		9.10E-17	294	
YPL231W	" fatty-acyl-CoA synthase, alpha chain"	protein destination; metabolism; cellular organization 	lethal	No	997	505	No		967.5555556		YER061C	FAS2	8.30E-05	154	
YPL233W	 hypothetical protein	unclassified proteins 	no data	No	453	732	No		268.6666667		YKR095W		1.33E-02	115	
YPL235W	 strong similarity to YDR190c	unclassified proteins 	lethal	No	299	530	No		768.1111111		YDR190C		3.90E-84	1118	
YPL237W	 translation initiation factor eIF2 beta subunit	protein synthesis; cellular organization 	lethal	Yes	255	-367	No		1678		YPR041W	SUI3	2.00E-08	188	
YPL238C	 questionable ORF	unclassified proteins 	no data	Yes	-367	388	No		1799.444444						exclude
YPL242C	 similarity to human RasGAP-related protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	263	306	Yes	M	332		YOR367W		3.70E-05	157	
YPL243W	 signal recognition particle protein	protein destination; cellular organization 	viable	No	306	484	No		972.2222222		YLR309C	SRP68	7.24E-03	124	"Previously-reported null mutants are slow-growing (Brown, J. D., Hann, B. C., Medzihradszky, K. F., Niwa, M., Burlingame, A. L., and Walter, P. Subunits of the Saccharomyces cerevisiae signal recognition particle required for its functional expression. EMBO J 13, 4390-400 (1994))."
YPL251W	 questionable ORF	unclassified proteins 	no data	Yes	382	-256	No		277.1111111						exclude
YPL252C	 similarity to adrenodoxin and ferrodoxin	unclear classification 	lethal	Yes	-256	357	No		701.6666667						
YPL255W	 cell division control protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	603	1111	No		131.3333333		YKR095W	BBP1	3.10E-07	175	
YPL266W	" rRNA (adenine-N6,N6-)-dimethyltransferase"	transcription; cellular organization 	lethal	No	966	323	No		712.2222222						
